caseID,activity,startTime,endTime
0,a,0:00:00,0:00:01
0,e,0:00:01,0:00:02
0,j,0:00:02,0:00:03
0,g,0:00:03,0:00:04
0,c,0:00:04,0:00:05
0,b,0:00:05,0:00:06
0,e,0:00:06,0:00:07
0,h,0:00:07,0:00:08
0,k,0:00:08,0:00:09
0,j,0:00:09,0:00:10
0,f,0:00:10,0:00:11
0,d,0:00:11,0:00:12
0,d,0:00:12,0:00:13
0,n,0:00:13,0:00:14
0,o,0:00:14,0:00:15
1,a,0:00:15,0:00:16
1,b,0:00:16,0:00:17
1,g,0:00:17,0:00:18
1,j,0:00:18,0:00:19
1,c,0:00:19,0:00:20
1,g,0:00:20,0:00:21
1,i,0:00:21,0:00:22
1,e,0:00:22,0:00:23
1,h,0:00:23,0:00:24
1,e,0:00:24,0:00:25
1,f,0:00:25,0:00:26
1,n,0:00:26,0:00:27
1,l,0:00:27,0:00:28
1,o,0:00:28,0:00:29
2,a,0:00:29,0:00:30
2,c,0:00:30,0:00:31
2,j,0:00:31,0:00:32
2,c,0:00:32,0:00:33
2,h,0:00:33,0:00:34
2,i,0:00:34,0:00:35
2,e,0:00:35,0:00:36
2,f,0:00:36,0:00:37
2,d,0:00:37,0:00:38
2,d,0:00:38,0:00:39
2,o,0:00:39,0:00:40
3,a,0:00:40,0:00:41
3,c,0:00:41,0:00:42
3,h,0:00:42,0:00:43
3,c,0:00:43,0:00:44
3,e,0:00:44,0:00:45
3,c,0:00:45,0:00:46
3,f,0:00:46,0:00:47
3,d,0:00:47,0:00:48
3,n,0:00:48,0:00:49
3,o,0:00:49,0:00:50
4,a,0:00:50,0:00:51
4,b,0:00:51,0:00:52
4,e,0:00:52,0:00:53
4,c,0:00:53,0:00:54
4,i,0:00:54,0:00:55
4,j,0:00:55,0:00:56
4,g,0:00:56,0:00:57
4,e,0:00:57,0:00:58
4,h,0:00:58,0:00:59
4,f,0:00:59,0:01:00
4,i,0:01:00,0:01:01
4,n,0:01:01,0:01:02
4,e,0:01:02,0:01:03
4,o,0:01:03,0:01:04
5,a,0:01:04,0:01:05
5,e,0:01:05,0:01:06
5,j,0:01:06,0:01:07
5,g,0:01:07,0:01:08
5,h,0:01:08,0:01:09
5,f,0:01:09,0:01:10
5,d,0:01:10,0:01:11
5,d,0:01:11,0:01:12
5,n,0:01:12,0:01:13
5,m,0:01:13,0:01:14
5,o,0:01:14,0:01:15
6,a,0:01:15,0:01:16
6,e,0:01:16,0:01:17
6,c,0:01:17,0:01:18
6,g,0:01:18,0:01:19
6,b,0:01:19,0:01:20
6,f,0:01:20,0:01:21
6,l,0:01:21,0:01:22
6,k,0:01:22,0:01:23
6,e,0:01:23,0:01:24
6,l,0:01:24,0:01:25
6,n,0:01:25,0:01:26
6,o,0:01:26,0:01:27
7,a,0:01:27,0:01:28
7,c,0:01:28,0:01:29
7,c,0:01:29,0:01:30
7,j,0:01:30,0:01:31
7,g,0:01:31,0:01:32
7,d,0:01:32,0:01:33
7,f,0:01:33,0:01:34
7,d,0:01:34,0:01:35
7,e,0:01:35,0:01:36
7,n,0:01:36,0:01:37
7,o,0:01:37,0:01:38
8,a,0:01:38,0:01:39
8,b,0:01:39,0:01:40
8,h,0:01:40,0:01:41
8,f,0:01:41,0:01:42
8,k,0:01:42,0:01:43
8,d,0:01:43,0:01:44
8,n,0:01:44,0:01:45
8,o,0:01:45,0:01:46
9,a,0:01:46,0:01:47
9,c,0:01:47,0:01:48
9,j,0:01:48,0:01:49
9,g,0:01:49,0:01:50
9,h,0:01:50,0:01:51
9,i,0:01:51,0:01:52
